"","Symbol","X.tax_id","GeneID","LocusTag","Synonyms","dbXrefs","chromosome","map_location","description","type_of_gene","Symbol_from_nomenclature_authority","Full_name_from_nomenclature_authority","Nomenclature_status","Other_designations","Modification_date","Feature_type","H1975_Veh_vs_H1975_C36","H3255_Veh_vs_H3255_C36","H820_Veh_vs_H820_E07","H1975_Veh_vs_H1975_E07","H3255_E07_vs_H3255_C36","H820_Veh_vs_H820_C36","H820_E07_vs_H820_C36","H3255_Veh_vs_H3255_E07","A549_E07_vs_A549_C36","H1975_E07_vs_H1975_C36","A549_Veh_vs_A549_E07","A549_Veh_vs_A549_C36"
"1","A1BG",9606,1,"-","A1B|ABG|GAB|HYST2477","MIM:138670|HGNC:HGNC:5|Ensembl:ENSG00000121410|AllianceGenome:HGNC:5","19","19q13.43","alpha-1-B glycoprotein","protein-coding","A1BG","alpha-1-B glycoprotein","O","alpha-1B-glycoprotein|HEL-S-163pA|epididymis secretory sperm binding protein Li 163pA",20231010,"-",-0.179727,0.114853,0.00170905,-0.397439,0.735944,0.100794,0.097952,-0.616541,0.227307,0.220302,-0.0634263,0.163602
"2","A1BG-AS1",9606,503538,"-","A1BG-AS|A1BGAS|NCRNA00181","HGNC:HGNC:37133|Ensembl:ENSG00000268895|AllianceGenome:HGNC:37133","19","19q13.43","A1BG antisense RNA 1","ncRNA","A1BG-AS1","A1BG antisense RNA 1","O","A1BG antisense RNA (non-protein coding)|A1BG antisense RNA 1 (non-protein coding)",20231010,"-",0.224929,0.00707152,-0.10852,0.154311,0.22579,0.199586,0.306948,-0.214383,-0.260328,0.0731026,-0.158229,-0.4194
"3","A1CF",9606,29974,"-","ACF|ACF64|ACF65|APOBEC1CF|ASP","MIM:618199|HGNC:HGNC:24086|Ensembl:ENSG00000148584|AllianceGenome:HGNC:24086","10","10q11.23","APOBEC1 complementation factor","protein-coding","A1CF","APOBEC1 complementation factor","O","APOBEC1 complementation factor|APOBEC-1 stimulating protein|apo-B RNA editing protein|apobec-1 complementation factor (ACF) (ASP)",20231010,"-",-1.05816,-0.0012575972082396,0.0017111752638546,-1.01936,2.19477,-0.719875,-0.0028188672883217,-0.0057496848186778,0.141262,-0.0358023,0.00528317,0.146308
"4","A2M",9606,2,"-","A2MD|CPAMD5|FWP007|S863-7","MIM:103950|HGNC:HGNC:7|Ensembl:ENSG00000175899|AllianceGenome:HGNC:7","12","12p13.31","alpha-2-macroglobulin","protein-coding","A2M","alpha-2-macroglobulin","O","alpha-2-macroglobulin|C3 and PZP-like alpha-2-macroglobulin domain-containing protein 5|alpha-2-M",20231010,"-",0.534213,0.476169,-0.581819,2.68352,0.406915,-0.816183,-0.235393,0.0734922,-0.0466339605992117,-2.14671,0.0884568381146066,0.956563
"5","A2M-AS1",9606,144571,"-","-","HGNC:HGNC:27057|Ensembl:ENSG00000245105|AllianceGenome:HGNC:27057","12","12p13.31","A2M antisense RNA 1","ncRNA","A2M-AS1","A2M antisense RNA 1","O","A2M antisense RNA 1 (head to head)|A2M antisense RNA 1 (non-protein coding)",20231010,"-",-0.0894843999999999,0.158534,0.0413926,-0.638158,0.303008,-0.392037,-0.43465,-0.139758,0.119817,0.55151,-0.0507685,0.0688563
"6","A2ML1",9606,144568,"-","CPAMD9|OMS|p170","MIM:610627|HGNC:HGNC:23336|Ensembl:ENSG00000166535|AllianceGenome:HGNC:23336","12","12p13.31","alpha-2-macroglobulin like 1","protein-coding","A2ML1","alpha-2-macroglobulin like 1","O","alpha-2-macroglobulin-like protein 1|C3 and PZP-like, alpha-2-macroglobulin domain containing 9",20231010,"-",-1.05307,0,1.33092,-0.309501,0.0064033233291121,0.0077135584034751,0.003088963290018,-0.0063331580793467,0,-0.738784,0,0
"7","A2MP1",9606,3,"-","A2MP","HGNC:HGNC:8|Ensembl:ENSG00000291190|AllianceGenome:HGNC:8","12","12p13.31","alpha-2-macroglobulin pseudogene 1","pseudo","A2MP1","alpha-2-macroglobulin pseudogene 1","O","pregnancy-zone protein pseudogene",20231010,"-",0,-0.010487017122828,0,0,-0.0106122902454892,0,0,0,-0.0367806983847264,0,0,-0.0365985607770071
"8","A3GALT2",9606,127550,"-","A3GALT2P|IGB3S|IGBS3S","MIM:619850|HGNC:HGNC:30005|Ensembl:ENSG00000184389|AllianceGenome:HGNC:30005","1","1p35.1","alpha 1,3-galactosyltransferase 2","protein-coding","A3GALT2","alpha 1,3-galactosyltransferase 2","O","alpha-1,3-galactosyltransferase 2|alpha 1,3-galactosyltransferase 2, pseudogene|iGb3 synthase|isoglobotriaosylceramide synthase",20231111,"-",-1.79353,-0.0130935974243121,-0.0329591500798809,-2.00965,0.0687422,0,0.0329416646158104,-0.0137251118692532,0,0.219133,0.0339454664838926,0.0341193445989357
"9","A4GALT",9606,53947,"-","A14GALT|A4GALT1|Gb3S|P(k)|P1|P1PK|PK","MIM:607922|HGNC:HGNC:18149|Ensembl:ENSG00000128274|AllianceGenome:HGNC:18149","22","22q13.2","alpha 1,4-galactosyltransferase (P1PK blood group)","protein-coding","A4GALT","alpha 1,4-galactosyltransferase (P1PK blood group)","O","lactosylceramide 4-alpha-galactosyltransferase|CD77 synthase|GB3 synthase|P blood group (P one antigen)|P one antigen (P blood group)|P(k) antigen synthase|P1/Pk synthase|UDP-galactose:beta-D-galactosyl-beta1-R 4-alpha-D-galactosyltransferase|alpha 1,4-galactosyltransferase (P blood group)|alpha 14-galactosyltransferase|alpha-1,4-N-acetylglucosaminyltransferase|alpha-1,4-galactosyltransferase|alpha4Gal-T1|globotriaosylceramide synthase",20231108,"-",0.0387075999999999,0.24136,0.0351176999999999,-0.0953963,0.467824,0.0988423,0.0626321,-0.221925,0.0897959,0.136714,0.101835,0.191523
"10","A4GNT",9606,51146,"-","alpha4GnT","MIM:616709|HGNC:HGNC:17968|Ensembl:ENSG00000118017|AllianceGenome:HGNC:17968","3","3q22.3","alpha-1,4-N-acetylglucosaminyltransferase","protein-coding","A4GNT","alpha-1,4-N-acetylglucosaminyltransferase","O","alpha-1,4-N-acetylglucosaminyltransferase",20231010,"-",0.252077,0,1.72593,0.24371,0,0.850291,-0.877184,0,-0.0634818,0.010099,-0.499902,-0.563769
"11","AAAS",9606,8086,"-","AAA|AAASb|ADRACALA|ADRACALIN|ALADIN|GL003","MIM:605378|HGNC:HGNC:13666|Ensembl:ENSG00000094914|AllianceGenome:HGNC:13666","12","12q13.13","aladin WD repeat nucleoporin","protein-coding","AAAS","aladin WD repeat nucleoporin","O","aladin|Allgrove, triple-A|achalasia, adrenocortical insufficiency, alacrimia",20231108,"-",0.958549,-2.06832,-1.0633,2.12825,-0.488496,-0.360033,0.702938,-1.57552,-0.336733,-1.16697,-0.464727,-0.803401
"12","AACS",9606,65985,"-","ACSF1|SUR-5","MIM:614364|HGNC:HGNC:21298|Ensembl:ENSG00000081760|AllianceGenome:HGNC:21298","12","12q24.31","acetoacetyl-CoA synthetase","protein-coding","AACS","acetoacetyl-CoA synthetase","O","acetoacetyl-CoA synthetase|acetoacetate-CoA ligase|acyl-CoA synthetase family member 1|homolog of C. elegans supressor of ras 5 (sur-5)|protein sur-5 homolog",20231010,"-",0.0479425,-0.00316189,0.0519486,-0.0267512,-0.040163,0.0775468999999999,0.0244363,0.0416051,0.047118,0.0774067,-0.0605486,-0.0136079
"13","AACSP1",9606,729522,"-","AACSL","HGNC:HGNC:18226|Ensembl:ENSG00000291019|AllianceGenome:HGNC:18226","5","5q35.3","acetoacetyl-CoA synthetase pseudogene 1","pseudo","AACSP1","acetoacetyl-CoA synthetase pseudogene 1","O","-",20231010,"-",0.0327836,2.11321,0.282746,-0.0173009,1.87441,0.288176,0.00401497,0.242291,0.668153,0.0527346999999999,0.199108,0.866458
"14","AADAC",9606,13,"-","CES5A1|DAC","MIM:600338|HGNC:HGNC:17|Ensembl:ENSG00000114771|AllianceGenome:HGNC:17","3","3q25.1","arylacetamide deacetylase","protein-coding","AADAC","arylacetamide deacetylase","O","arylacetamide deacetylase|arylacetamide deacetylase (esterase)",20231010,"-",0.411001,0.88886,0.0113187547276653,0.502148,0.379424,0.0112519058382514,0,0.514343,-0.0692706,-0.086936,0.107342,0.037961
"15","AADACL2",9606,344752,"-","-","HGNC:HGNC:24427|Ensembl:ENSG00000197953|AllianceGenome:HGNC:24427","3","3q25.1","arylacetamide deacetylase like 2","protein-coding","AADACL2","arylacetamide deacetylase like 2","O","arylacetamide deacetylase-like 2",20231108,"-",0,0,-0.0020464102640668,0,0,0,0.0020436874328436,0,0,0,0.0048707324125459,0.0048906893899081
"16","AADACL3",9606,126767,"-","-","HGNC:HGNC:32037|Ensembl:ENSG00000188984|AllianceGenome:HGNC:32037","1","1p36.21","arylacetamide deacetylase like 3","protein-coding","AADACL3","arylacetamide deacetylase like 3","O","arylacetamide deacetylase-like 3",20231010,"-",0,0,-0.0025756224352609,0,0,0,0.0025721949415049,0,0,0,0,0
"17","AADACL4",9606,343066,"-","-","HGNC:HGNC:32038|Ensembl:ENSG00000204518|AllianceGenome:HGNC:32038","1","1p36.21","arylacetamide deacetylase like 4","protein-coding","AADACL4","arylacetamide deacetylase like 4","O","arylacetamide deacetylase-like 4",20231010,"-",0,0,-0.598944,0,0,-0.938982,-0.340994,0,0,0,0,0
"18","AADACP1",9606,201651,"-","-","HGNC:HGNC:50305|Ensembl:ENSG00000291076|AllianceGenome:HGNC:50305","3","3q25.1","arylacetamide deacetylase pseudogene 1","pseudo","AADACP1","arylacetamide deacetylase pseudogene 1","O","arylacetamide deacetylase (esterase) pseudogene",20231010,"-",0.478756,-0.412856,0.0135645222677681,0.646592,-0.138776,-0.717466,-0.0222403885752965,-0.269513,0.193023,-0.16392,-0.0788406999999999,0.113728
"19","AADAT",9606,51166,"-","KAT2|KATII|KYAT2","MIM:611754|HGNC:HGNC:17929|Ensembl:ENSG00000109576|AllianceGenome:HGNC:17929","4","4q33","aminoadipate aminotransferase","protein-coding","AADAT","aminoadipate aminotransferase","O","kynurenine/alpha-aminoadipate aminotransferase, mitochondrial|2-aminoadipate aminotransferase|2-aminoadipate transaminase|KAT/AadAT|L kynurenine/alpha aminoadipate aminotransferase|alpha-aminoadipate aminotransferase|glycine transaminase AADAT|kynurenine aminotransferase II|kynurenine--glyoxylate transaminase AADAT|kynurenine--oxoglutarate aminotransferase II|kynurenine--oxoglutarate transaminase 2|kynurenine--oxoglutarate transaminase II|methionine--glyoxylate transaminase AADAT",20231010,"-",-0.062822,-0.0902256,-0.773829,0.17876,0.147606,-0.0376561999999999,0.735484,-0.233259,0.0916092,-0.238985,-0.0334555,0.0582704
"20","AAGAB",9606,79719,"-","KPPP1|PPKP1|PPKP1A|p34","MIM:614888|HGNC:HGNC:25662|Ensembl:ENSG00000103591|AllianceGenome:HGNC:25662","15","15q23","alpha and gamma adaptin binding protein","protein-coding","AAGAB","alpha and gamma adaptin binding protein","O","alpha- and gamma-adaptin-binding protein p34|punctate palmoplantar keratoderma type I",20231010,"-",0.0081631,-0.0377995999999999,0.0205933,0.0725728,-0.0679897,-0.00828392,-0.0300635,0.0347139,0.0384715,-0.0617119,-0.104556,-0.0663163
"21","AAK1",9606,22848,"-","-","MIM:616405|HGNC:HGNC:19679|Ensembl:ENSG00000115977|AllianceGenome:HGNC:19679","2","2p13.3","AP2 associated kinase 1","protein-coding","AAK1","AP2 associated kinase 1","O","AP2-associated protein kinase 1|adaptor-associated kinase 1",20231010,"-",0.0815348,0.145365,-0.0842709,0.0248052,-0.0413426999999999,-0.124763,-0.0416286,0.191351,0.0970704,0.0593837,0.0975694,0.194451
"22","AAMDC",9606,28971,"-","C11orf67|CK067|PTD015","MIM:620474|HGNC:HGNC:30205|Ensembl:ENSG00000087884|AllianceGenome:HGNC:30205","11","11q14.1","adipogenesis associated Mth938 domain containing","protein-coding","AAMDC","adipogenesis associated Mth938 domain containing","O","mth938 domain-containing protein|UPF0366 protein C11orf67|adipogenesis associated Mth938 domain-containing protein",20231010,"-",0.178171,-0.0703278,0.308868,0.0085702,0.210443,0.222647,-0.0873666,-0.276272,-0.142804,0.172212,-0.259294,-0.402236
"23","AAMP",9606,14,"-","-","MIM:603488|HGNC:HGNC:18|Ensembl:ENSG00000127837|AllianceGenome:HGNC:18","2","2q35","angio associated migratory cell protein","protein-coding","AAMP","angio associated migratory cell protein","O","angio-associated migratory cell protein",20231010,"-",-0.0466563,-0.0271272999999999,-0.0114227,0.043235,0.0433961999999999,0.0490924,0.0593627,-0.066013,-0.0324209,-0.0872521999999999,0.041406,0.00873057
"24","AANAT",9606,15,"-","DSPS|SNAT","MIM:600950|HGNC:HGNC:19|Ensembl:ENSG00000129673|AllianceGenome:HGNC:19","17","17q25.1","aralkylamine N-acetyltransferase","protein-coding","AANAT","aralkylamine N-acetyltransferase","O","serotonin N-acetyltransferase|arylalkylamine N-acetyltransferase|serotonin acetylase",20231010,"-",0.177902,-0.026363254917456,0.0260072,-0.327418,-0.807045,0.209328,0.182567,-0.0151158641220972,1.3677,0.507665,0.158545,1.52489
"25","AAR2",9606,25980,"-","C20orf4|CGI-23","MIM:617365|HGNC:HGNC:15886|Ensembl:ENSG00000131043|AllianceGenome:HGNC:15886","20","20q11.23","AAR2 splicing factor","protein-coding","AAR2","AAR2 splicing factor","O","protein AAR2 homolog|AAR2 splicing factor homolog",20231105,"-",-0.0772568,-0.0525567,-0.0245752999999999,-0.0304392999999999,0.011017,0.0198214,0.0432194,-0.0590365,0.00056982,-0.0442096,-0.0519679999999999,-0.0516091
"26","AARD",9606,441376,"-","C8orf85","HGNC:HGNC:33842|Ensembl:ENSG00000205002|AllianceGenome:HGNC:33842","8","8q24.11","alanine and arginine rich domain containing protein","protein-coding","AARD","alanine and arginine rich domain containing protein","O","alanine and arginine-rich domain-containing protein",20231010,"-",0,-0.0052801258873778,1.9161,0,-0.005342063182355,0.0196808520085481,0.0052714438168776,0,-0.653818,0,0.109417,-0.545319
"27","AARS1",9606,16,"-","AARS|CMT2N|DEE29|EIEE29|HDLS2|TTD8","MIM:601065|HGNC:HGNC:20|Ensembl:ENSG00000090861|AllianceGenome:HGNC:20","16","16q22.1","alanyl-tRNA synthetase 1","protein-coding","AARS1","alanyl-tRNA synthetase 1","O","alanine--tRNA ligase, cytoplasmic|alaRS|alanine tRNA ligase 1, cytoplasmic|alanyl-tRNA synthetase, cytoplasmic|renal carcinoma antigen NY-REN-42",20231105,"-",-0.0812442,-0.0423693,-0.0005449469999999,0.00433612,0.225315,0.0248669,0.0242585999999999,-0.263151,-0.118194,-0.0828976,-0.0398305,-0.158292
"28","AARS2",9606,57505,"-","AARSL|COXPD8|LKENP|MT-ALARS|MTALARS","MIM:612035|HGNC:HGNC:21022|Ensembl:ENSG00000124608|AllianceGenome:HGNC:21022","6","6p21.1","alanyl-tRNA synthetase 2, mitochondrial","protein-coding","AARS2","alanyl-tRNA synthetase 2, mitochondrial","O","alanine--tRNA ligase, mitochondrial|alanine tRNA ligase 2, mitochondrial (putative)|alanyl-tRNA synthetase 2, mitochondrial (putative)|alanyl-tRNA synthetase like|probable alanyl-tRNA synthetase, mitochondrial",20231105,"-",-0.151195,-0.0327825999999999,-0.0778789999999999,-0.0192197,-0.0479811,-0.0958311,-0.0190661,0.0197984,-0.134355,-0.129316,0.0226849,-0.111999
"29","AARSD1",9606,80755,"-","AlaXp","MIM:613212|HGNC:HGNC:28417|Ensembl:ENSG00000266967|AllianceGenome:HGNC:28417","17","17q21.31","alanyl-tRNA synthetase domain containing 1","protein-coding","AARSD1","alanyl-tRNA synthetase domain containing 1","O","alanyl-tRNA editing protein Aarsd1|alanyl-tRNA synthetase domain-containing protein 1",20231010,"-",0.0765387,0.0228910999999999,-0.130955,0.142247,-0.117329,0.155783,0.2856,0.144816,-0.00791705,-0.063045,-0.00204419,-0.0102729
"30","AARSD1P1",9606,117981788,"-","-","HGNC:HGNC:54994|Ensembl:ENSG00000234969|AllianceGenome:HGNC:54994","X","Xq13.2","AARSD1 pseudogene 1","pseudo","AARSD1P1","AARSD1 pseudogene 1","O","-",20231010,"-",0.381977,0.607705,0.0212484,0.956298,0.352885,1.28165,1.25897,0.260236,0.362575,-0.573294,0.411786,0.775586
"31","AASDH",9606,132949,"-","ACSF4|LYS2|NRPS1098|NRPS998","MIM:614365|HGNC:HGNC:23993|Ensembl:ENSG00000157426|AllianceGenome:HGNC:23993","4","4q12","aminoadipate-semialdehyde dehydrogenase","protein-coding","AASDH","aminoadipate-semialdehyde dehydrogenase","O","beta-alanine-activating enzyme|2-aminoadipic 6-semialdehyde dehydrogenase|acyl-CoA synthetase family member 4|non-ribosomal peptide synthetase 1098|non-ribosomal peptide synthetase 998",20231010,"-",0.0608082,0.0408561999999999,0.0897294999999999,-0.0468716,0.0104747,0.0727462,-0.0181616,0.03485,0.00549232,0.11017,0.0984942999999999,0.103785
"32","AASDHPPT",9606,60496,"-","AASD-PPT|ACPS|CGI-80|LYS2|LYS5","MIM:607756|HGNC:HGNC:14235|Ensembl:ENSG00000149313|AllianceGenome:HGNC:14235","11","11q22.3","aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase","protein-coding","AASDHPPT","aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase","O","L-aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase|4'-phosphopantetheinyl transferase|LYS5 ortholog|alpha-aminoadipic semialdehyde dehydrogenase-phosphopantetheinyl transferase|holo ACP synthase|holo-[acyl-carrier-protein] synthase",20231010,"-",0.0479116999999999,0.0248304,-0.0281596,0.123286,-0.177843,-0.0192204,0.00776969,0.207277,0.128821,-0.0727321,-0.0300168,0.0985899
"33","AASS",9606,10157,"-","LKR/SDH|LKRSDH|LORSDH","MIM:605113|HGNC:HGNC:17366|Ensembl:ENSG00000008311|AllianceGenome:HGNC:17366","7","7q31.32","aminoadipate-semialdehyde synthase","protein-coding","AASS","aminoadipate-semialdehyde synthase","O","alpha-aminoadipic semialdehyde synthase, mitochondrial|alpha-aminoadipate semialdehyde synthase|aminoadipic semialdehyde synthase|lysine-2-oxoglutarate reductase|lysine-ketoglutarate reductase /saccharopine dehydrogenase",20231010,"-",0.244965,-0.0547714,-0.0773096,0.366087,0.619324,-0.00731356,0.0689169,-0.669423,0.153406,-0.118768,-0.711466,-0.558431
"34","AATBC",9606,284837,"-","-","HGNC:HGNC:51526|Ensembl:ENSG00000215458|AllianceGenome:HGNC:51526","21","21q22.3","apoptosis associated transcript in bladder cancer","ncRNA","AATBC","apoptosis associated transcript in bladder cancer","O","-",20231010,"-",0.166482,0.142246,-0.23973,-0.00572877,0.479725,-0.176125,0.0625833,-0.332849,-0.156508,0.175419,-0.816313,-0.973108
"35","AATF",9606,26574,"-","BFR2|CHE-1|CHE1|DED","MIM:608463|HGNC:HGNC:19235|Ensembl:ENSG00000275700|AllianceGenome:HGNC:19235","17","17q12","apoptosis antagonizing transcription factor","protein-coding","AATF","apoptosis antagonizing transcription factor","O","protein AATF|rb-binding protein Che-1",20231108,"-",0.0190017083560073,-0.0211257617595086,0,0.152485,0.572184,0,0,-0.0312689902303797,-0.291357,0.0172392270692991,0.404803,0.112764
"36","AATK",9606,9625,"-","AATYK|AATYK1|LMR1|LMTK1|PPP1R77|p35BP","MIM:605276|HGNC:HGNC:21|Ensembl:ENSG00000181409|AllianceGenome:HGNC:21","17","17q25.3","apoptosis associated tyrosine kinase","protein-coding","AATK","apoptosis associated tyrosine kinase","O","serine/threonine-protein kinase LMTK1|CDK5-binding protein|brain apoptosis-associated tyrosine kinase|lemur tyrosine kinase 1|p35-binding protein|protein phosphatase 1, regulatory subunit 77",20231010,"-",-0.129723,-0.336553,-0.111226,-0.380203,0.905473,-0.115271,-0.00531544,-1.23719,0.521264,0.253576,-0.338835,0.182383
"37","ABALON",9606,103021294,"-","INXS","MIM:616018|HGNC:HGNC:49667|Ensembl:ENSG00000281376|AllianceGenome:HGNC:49667","20","20q11.21","apoptotic BCL2L1-antisense long non-coding RNA","ncRNA","ABALON","apoptotic BCL2L1-antisense long non-coding RNA","O","apoptotic BCL-X-associated long ncRNA|intronic BCL-XS-inducing lncRNA",20231010,"-",-0.0100576,0.0172397,-0.045535,0.26699,0.140114,0.0096257,0.0540995,-0.118258,-0.0385275,-0.274406,0.0989969,0.0600118
"38","ABAT",9606,18,"-","GABA-AT|GABAT|NPD009","MIM:137150|HGNC:HGNC:23|Ensembl:ENSG00000183044|AllianceGenome:HGNC:23","16","16p13.2","4-aminobutyrate aminotransferase","protein-coding","ABAT","4-aminobutyrate aminotransferase","O","4-aminobutyrate aminotransferase, mitochondrial|(S)-3-amino-2-methylpropionate transaminase|4-aminobutyrate transaminase|GABA aminotransferase|GABA transaminase|GABA transferase|gamma-amino-N-butyrate transaminase|gamma-aminobutyrate aminotransferase",20231015,"-",0.328417,0.00956945,-0.042011,-0.395093,1.67539,0.12555,0.166402,-1.66136,0.116333,0.726155,-0.240196,-0.124293
"39","ABCA1",9606,19,"-","ABC-1|ABC1|CERP|HDLCQTL13|HDLDT1|HPALP1|TGD","MIM:600046|HGNC:HGNC:29|Ensembl:ENSG00000165029|AllianceGenome:HGNC:29","9","9q31.1","ATP binding cassette subfamily A member 1","protein-coding","ABCA1","ATP binding cassette subfamily A member 1","O","phospholipid-transporting ATPase ABCA1|ATP-binding cassette sub-family A member 1|ATP-binding cassette transporter A1|ATP-binding cassette, sub-family A (ABC1), member 1|cholesterol efflux regulatory protein|membrane-bound",20231106,"-",-0.0113137,0.174607,0.0962869,-0.0324724,-0.0391031,0.00537446,-0.0920753,0.218658,0.23694,0.0238091,0.0487721,0.285083
"40","ABCA10",9606,10349,"-","EST698739","MIM:612508|HGNC:HGNC:30|Ensembl:ENSG00000154263|AllianceGenome:HGNC:30","17","17q24.3","ATP binding cassette subfamily A member 10","protein-coding","ABCA10","ATP binding cassette subfamily A member 10","O","ATP-binding cassette sub-family A member 10|ATP-binding cassette A10|ATP-binding cassette, sub-family A (ABC1), member 10",20231010,"-",-0.0789735,0,-0.0034259508822884,0.002128352113591,0,-0.0043416280593812,-0.353668,0,-0.927668,-0.0022482024142984,1.42098,0.492905
"41","ABCA11P",9606,79963,"-","ABCA11|EST1133530","HGNC:HGNC:31|Ensembl:ENSG00000251595|AllianceGenome:HGNC:31","4","4p16.3","ATP binding cassette subfamily A member 11, pseudogene","pseudo","ABCA11P","ATP binding cassette subfamily A member 11, pseudogene","O","ATP-binding cassette, sub-family A (ABC1), member 11 (pseudogene)",20231010,"-",0.0561047,-0.0246315,0.174642,-0.0413221,0.0323254,0.155381,-0.0204081999999999,-0.052299,-0.145311,0.10025,0.146154,0.000598047
"42","ABCA12",9606,26154,"-","ARCI4A|ARCI4B|ICR2B|LI2","MIM:607800|HGNC:HGNC:14637|Ensembl:ENSG00000144452|AllianceGenome:HGNC:14637","2","2q35","ATP binding cassette subfamily A member 12","protein-coding","ABCA12","ATP binding cassette subfamily A member 12","O","glucosylceramide transporter ABCA12|ATP-binding cassette transporter 12|ATP-binding cassette, sub-family A (ABC1), member 12",20231010,"-",-0.198997,-0.0690806,0.612885,-0.466572,-0.292331,0.521892,-0.0921717,0.227809,-0.054795,0.270467,0.180761,0.125332
"43","ABCA13",9606,154664,"-","-","MIM:607807|HGNC:HGNC:14638|Ensembl:ENSG00000179869|AllianceGenome:HGNC:14638","7","7p12.3","ATP binding cassette subfamily A member 13","protein-coding","ABCA13","ATP binding cassette subfamily A member 13","O","ATP-binding cassette sub-family A member 13|ATP binding cassette transporter A13|ATP-binding cassette, sub-family A (ABC1), member 13",20231010,"-",-0.214887,0.113,0.0674282,-0.279716,-1.12267,-0.161468,-0.230167,1.24033,-1.02443,0.0678965,1.46129,0.438423
"44","ABCA17P",9606,650655,"-","ABCA17","HGNC:HGNC:32972|Ensembl:ENSG00000238098|AllianceGenome:HGNC:32972","16","16p13.3","ATP binding cassette subfamily A member 17, pseudogene","pseudo","ABCA17P","ATP binding cassette subfamily A member 17, pseudogene","O","ATP-binding cassette, sub-family A (ABC1), member 17, pseudogene",20231010,"-",0.0236768,0.0571449,-0.110153,-0.0740628999999999,0.62328,0.699484,0.808696,-0.56126,-0.379461,0.100526,-0.595523,-0.974146
"45","ABCA2",9606,20,"-","ABC2|IDPOGSA","MIM:600047|HGNC:HGNC:32|Ensembl:ENSG00000107331|AllianceGenome:HGNC:32","9","9q34.3","ATP binding cassette subfamily A member 2","protein-coding","ABCA2","ATP binding cassette subfamily A member 2","O","ATP-binding cassette sub-family A member 2|ATP-binding cassette 2|ATP-binding cassette transporter 2|ATP-binding cassette, sub-family A (ABC1), member 2|ATP-binding cassette, sub-family A, member 2",20231113,"-",-0.0353724,-0.070115,-0.0359383,-0.127361,-0.0364978,-0.0208373,0.0139435,-0.0290028999999999,-0.0754816,0.094701,0.0465579999999999,-0.0292977
"46","ABCA3",9606,21,"-","ABC-C|ABC3|EST111653|LBM180|SMDP3","MIM:601615|HGNC:HGNC:33|Ensembl:ENSG00000167972|AllianceGenome:HGNC:33","16","16p13.3","ATP binding cassette subfamily A member 3","protein-coding","ABCA3","ATP binding cassette subfamily A member 3","O","phospholipid-transporting ATPase ABCA3|ABC transporter 3|ABC-C transporter|ATP-binding cassette sub-family A member 3|ATP-binding cassette transporter 3|ATP-binding cassette, sub-family A (ABC1), member 3|xenobiotic-transporting ATPase ABCA3",20231010,"-",-0.0570484,-0.0209217,-0.190687,0.0193690999999999,0.711359,-0.103863,0.0856866,-0.727758,-0.00851955,-0.073738,0.0004109169999999,-0.00851593
"47","ABCA4",9606,24,"-","ABC10|ABCR|ARMD2|CORD3|FFM|RMP|RP19|STGD|STGD1","MIM:601691|HGNC:HGNC:34|Ensembl:ENSG00000198691|AllianceGenome:HGNC:34","1","1p22.1","ATP binding cassette subfamily A member 4","protein-coding","ABCA4","ATP binding cassette subfamily A member 4","O","retinal-specific phospholipid-transporting ATPase ABCA4|ATP binding cassette transporter|ATP-binding cassette sub-family A member 4|ATP-binding cassette transporter, retinal-specific|ATP-binding cassette, sub-family A (ABC1), member 4|ATP-binding transporter, retina-specific|RIM ABC transporter|RIM protein|RIM proteinv|photoreceptor rim protein|retina-specific ABC transporter|retinal-specific ATP-binding cassette transporter|stargardt disease protein",20231113,"-",0.4333,0.0364701,-0.216707,-0.417778,-0.215672,-0.202555,0.0130013,0.256767,0.489265,0.853793,-0.19617,0.292862
"48","ABCA5",9606,23461,"-","ABC13|EST90625|HTC3","MIM:612503|HGNC:HGNC:35|Ensembl:ENSG00000154265|AllianceGenome:HGNC:35","17","17q24.3","ATP binding cassette subfamily A member 5","protein-coding","ABCA5","ATP binding cassette subfamily A member 5","O","cholesterol transporter ABCA5|ATP-binding cassette A5|ATP-binding cassette, sub-family A (ABC1), member 5",20231010,"-",0.417953,-0.295259,-0.618586,-0.269295,0.128967,-0.437116,0.180087,-0.419385,0.0922491,0.68893,-0.219501,-0.127341
"49","ABCA6",9606,23460,"-","EST155051","MIM:612504|HGNC:HGNC:36|Ensembl:ENSG00000154262|AllianceGenome:HGNC:36","17","17q24.2-q24.3","ATP binding cassette subfamily A member 6","protein-coding","ABCA6","ATP binding cassette subfamily A member 6","O","ATP-binding cassette sub-family A member 6|ABC transporter ABCA6|ATP-binding cassette A6|ATP-binding cassette, sub-family A (ABC1), member 6",20231010,"-",0,0,0,-0.0019810464891906,0,0,0,0,-0.899086,0.0019877025787712,-0.100172,-1.00423
