gene,H1975_Veh_vs_H1975_C36,H3255_Veh_vs_H3255_C36,H820_Veh_vs_H820_E07,H1975_Veh_vs_H1975_E07,H3255_E07_vs_H3255_C36,H820_Veh_vs_H820_C36,H820_E07_vs_H820_C36,H3255_Veh_vs_H3255_E07,A549_E07_vs_A549_C36,H1975_E07_vs_H1975_C36,A549_Veh_vs_A549_E07,A549_Veh_vs_A549_C36
A1BG,-0.179727,0.114853,0.00170905,-0.397439,0.7359439999999999,0.10079400000000001,0.097952,-0.616541,0.227307,0.220302,-0.0634263,0.163602
A1BG-AS1,0.224929,0.00707152,-0.10852,0.154311,0.22579000000000002,0.1995859999999999,0.306948,-0.214383,-0.260328,0.0731026,-0.158229,-0.4194
A1CF,-1.05816,-0.0012575972082396,0.0017111752638546,-1.01936,2.19477,-0.719875,-0.0028188672883217,-0.0057496848186778,0.141262,-0.0358023,0.00528317,0.146308
A2M,0.534213,0.4761689999999999,-0.581819,2.68352,0.406915,-0.816183,-0.235393,0.07349220000000001,-0.0466339605992117,-2.1467099999999997,0.0884568381146066,0.9565629999999999
A2M-AS1,-0.0894843999999999,0.1585339999999999,0.0413926,-0.638158,0.303008,-0.3920369999999999,-0.43465,-0.139758,0.119817,0.5515100000000001,-0.0507685,0.0688563
A2ML1,-1.0530700000000002,0.0,1.33092,-0.309501,0.0064033233291121,0.0077135584034751,0.0030889632900179998,-0.0063331580793467,0.0,-0.738784,0.0,0.0
A3GALT2,-1.7935299999999998,-0.0130935974243121,-0.0329591500798809,-2.00965,0.0687422,0.0,0.0329416646158104,-0.0137251118692532,0.0,0.219133,0.0339454664838926,0.0341193445989357
A4GALT,0.0387075999999999,0.24136,0.0351176999999999,-0.0953963,0.4678239999999999,0.0988423,0.0626321,-0.221925,0.0897959,0.136714,0.10183500000000001,0.191523
A4GNT,0.252077,0.0,1.72593,0.2437099999999999,0.0,0.850291,-0.877184,0.0,-0.0634818,0.010099,-0.49990200000000007,-0.563769
AAAS,0.958549,-2.06832,-1.0633,2.12825,-0.488496,-0.360033,0.7029380000000001,-1.57552,-0.336733,-1.16697,-0.46472700000000006,-0.803401
AAAS-2,0.0353504051275442,-0.0139747283993771,0.270029,0.0355034220698004,0.952508,0.107097,-0.163026,-0.0269343033945687,0.972686,0.0,-0.569401,0.4013
AACS,0.0479425,-0.00316189,0.0519486,-0.0267512,-0.040163,0.0775468999999999,0.0244363,0.0416051,0.047118,0.0774067,-0.0605486,-0.013607900000000001
AACSP1,0.0327836,2.11321,0.282746,-0.0173009,1.87441,0.28817600000000004,0.00401497,0.2422909999999999,0.668153,0.0527346999999999,0.1991079999999999,0.866458
AADAC,0.411001,0.88886,0.0113187547276653,0.5021479999999999,0.379424,0.0112519058382514,0.0,0.514343,-0.0692706,-0.086936,0.107342,0.037961
AADACP1,0.478756,-0.41285600000000006,0.0135645222677681,0.6465920000000001,-0.138776,-0.7174659999999999,-0.0222403885752965,-0.269513,0.193023,-0.16392,-0.0788406999999999,0.113728
AADAT,-0.062822,-0.0902256,-0.773829,0.17876,0.147606,-0.0376561999999999,0.735484,-0.23325900000000002,0.0916092,-0.238985,-0.0334555,0.05827040000000001
AAGAB,0.0081631,-0.0377995999999999,0.0205933,0.0725728,-0.0679897,-0.00828392,-0.0300635,0.0347139,0.0384715,-0.0617119,-0.104556,-0.0663163
AAK1,0.0815348,0.14536500000000002,-0.0842709,0.024805200000000003,-0.0413426999999999,-0.12476300000000001,-0.0416286,0.191351,0.0970704,0.0593837,0.0975694,0.194451
AAMDC,0.178171,-0.0703278,0.308868,0.008570200000000002,0.210443,0.2226469999999999,-0.0873666,-0.2762719999999999,-0.142804,0.1722119999999999,-0.259294,-0.40223600000000004
AAMP,-0.046656300000000005,-0.0271272999999999,-0.011422700000000001,0.043235,0.0433961999999999,0.0490924,0.0593627,-0.066013,-0.0324209,-0.0872521999999999,0.041406,0.00873057
AANAT,0.177902,-0.026363254917456,0.0260072,-0.327418,-0.807045,0.20932800000000001,0.182567,-0.0151158641220972,1.3677,0.5076649999999999,0.158545,1.5248899999999999
AAR2,-0.0772568,-0.0525567,-0.0245752999999999,-0.0304392999999999,0.011017,0.019821400000000003,0.043219400000000005,-0.0590365,0.00056982,-0.0442096,-0.0519679999999999,-0.0516091
AARS1,-0.0812442,-0.042369300000000006,-0.0005449469999999,0.00433612,0.22531500000000002,0.0248669,0.0242585999999999,-0.263151,-0.11819400000000001,-0.08289760000000002,-0.0398305,-0.15829200000000002
AARS2,-0.151195,-0.0327825999999999,-0.0778789999999999,-0.0192197,-0.0479811,-0.0958311,-0.0190661,0.0197984,-0.134355,-0.12931600000000001,0.0226849,-0.111999
AARSD1,0.0765387,0.0228910999999999,-0.130955,0.142247,-0.117329,0.155783,0.2856,0.144816,-0.00791705,-0.063045,-0.00204419,-0.0102729
AARSD1P1,0.381977,0.607705,0.0212484,0.956298,0.352885,1.28165,1.2589700000000001,0.260236,0.362575,-0.573294,0.411786,0.775586
AASDH,0.0608082,0.0408561999999999,0.0897294999999999,-0.0468716,0.010474700000000002,0.0727462,-0.0181616,0.03485,0.00549232,0.11017,0.0984942999999999,0.1037849999999999
AASDHPPT,0.0479116999999999,0.0248304,-0.0281596,0.1232859999999999,-0.177843,-0.019220400000000002,0.00776969,0.207277,0.128821,-0.07273210000000001,-0.0300168,0.0985899
AASS,0.24496500000000002,-0.054771400000000005,-0.0773096,0.366087,0.619324,-0.00731356,0.0689169,-0.669423,0.153406,-0.11876800000000001,-0.7114659999999999,-0.558431
AATBC,0.166482,0.142246,-0.23973000000000003,-0.00572877,0.479725,-0.176125,0.06258330000000001,-0.3328489999999999,-0.1565079999999999,0.175419,-0.8163130000000001,-0.973108
AATF,0.0190017083560073,-0.0211257617595086,0.0,0.1524849999999999,0.572184,0.0,0.0,-0.0312689902303797,-0.29135700000000003,0.0172392270692991,0.404803,0.112764
AATF-2,1.61751,-0.933443,-0.983276,0.926633,0.114623,0.0695225,1.05196,-1.04369,0.41417,0.6952,-1.27446,-0.860509
AATK,-0.129723,-0.33655300000000005,-0.111226,-0.380203,0.905473,-0.115271,-0.00531544,-1.23719,0.5212640000000001,0.253576,-0.338835,0.182383
ABALON,-0.010057600000000002,0.017239700000000004,-0.045535,0.26699,0.14011400000000002,0.009625700000000001,0.0540995,-0.1182579999999999,-0.0385275,-0.274406,0.0989969,0.060011800000000004
ABAT,0.328417,0.00956945,-0.042011,-0.3950929999999999,1.6753900000000002,0.12555,0.166402,-1.66136,0.1163329999999999,0.726155,-0.240196,-0.124293
ABCA1,-0.0113137,0.1746069999999999,0.0962869,-0.0324724,-0.0391031,0.00537446,-0.0920753,0.218658,0.23694,0.0238091,0.0487721,0.285083
ABCA10,-0.0789735,0.0,-0.0034259508822884,0.002128352113591,0.0,-0.0043416280593812,-0.353668,0.0,-0.927668,-0.0022482024142984,1.42098,0.49290500000000004
ABCA11P,0.0561047,-0.0246315,0.17464200000000002,-0.0413221,0.032325400000000004,0.155381,-0.0204081999999999,-0.052299,-0.145311,0.10025,0.146154,0.000598047
ABCA12,-0.198997,-0.0690806,0.612885,-0.46657200000000004,-0.292331,0.521892,-0.0921717,0.227809,-0.054795,0.270467,0.1807609999999999,0.125332
ABCA13,-0.214887,0.113,0.0674282,-0.2797159999999999,-1.12267,-0.161468,-0.230167,1.24033,-1.02443,0.0678965,1.46129,0.4384229999999999
ABCA17P,0.0236768,0.057144900000000005,-0.110153,-0.0740628999999999,0.6232800000000001,0.699484,0.808696,-0.56126,-0.379461,0.100526,-0.5955229999999999,-0.974146
ABCA2,-0.0353724,-0.070115,-0.035938300000000006,-0.127361,-0.036497800000000004,-0.0208373,0.013943500000000001,-0.0290028999999999,-0.07548160000000001,0.094701,0.0465579999999999,-0.029297700000000003
ABCA3,-0.057048400000000006,-0.0209217,-0.190687,0.0193690999999999,0.711359,-0.10386300000000001,0.08568660000000002,-0.727758,-0.00851955,-0.073738,0.0004109169999999,-0.00851593
ABCA4,0.4333,0.0364701,-0.216707,-0.417778,-0.2156719999999999,-0.2025549999999999,0.0130013,0.256767,0.4892649999999999,0.853793,-0.19617,0.292862
ABCA5,0.4179529999999999,-0.295259,-0.618586,-0.269295,0.128967,-0.437116,0.180087,-0.41938500000000006,0.09224910000000001,0.68893,-0.21950100000000003,-0.127341
ABCA7,0.110101,-0.0752755,-0.151971,-0.064085,0.0131402999999999,-0.00532188,0.145511,-0.0839198999999999,-0.0955675,0.176923,-0.089149,-0.18513800000000002
ABCA8,-0.0075907887531376,0.0629822999999999,0.0,0.0,0.2670079999999999,0.0,0.0,-0.199482,1.40848,-0.0076330381905506,-0.489659,0.918213
ABCA9,0.0029547278664599,-0.0042147303648343,0.0,0.002964460498587,0.861458,0.0,0.0,-0.0076544925093129,-0.981291,0.0,0.298686,-0.685763
ABCB1,-0.0046419263588134,0.0109192615110032,0.0645936,0.0,0.0023628431625554,0.159172,0.0934627,2.23355,0.0408061999999999,-0.0046680125417906,0.027613,0.0683357
ABCB10,0.0974754999999999,0.00533276,-0.0300187999999999,0.203486,-0.0466036,0.0157162,0.04454330000000001,0.0565442,0.128939,-0.103302,0.035872900000000006,0.164512
ABCB10P1-2,-1.0303799999999999,-0.254744,2.43335,-0.3679179999999999,-2.64129,0.937457,-1.49603,2.38995,0.029568,-0.658139,-0.8261879999999999,-0.7971
ABCB11,0.0043840159040816,0.0182540102283745,-0.2464309999999999,0.0044029296575833,0.0041236712982074,-0.770401,-0.525821,2.17469,-0.0096330025338476,0.0,0.008079164950292,-0.243966
ABCB4,-0.304127,0.0850158,0.00245926,-0.658031,-0.3587639999999999,-0.13464600000000002,-0.138233,0.4483229999999999,-0.489548,0.35647,0.714335,0.223469
ABCB6,-0.0664757,-0.0663184999999999,-0.0989432,-0.0781263999999999,-0.101551,-0.147047,-0.0492151,0.0397441999999999,-0.00695976,0.0143151,-0.036456800000000004,-0.0436197
ABCB7,-0.0157282999999999,0.12576600000000002,0.0142547,-0.0644703,0.00496421,0.00656537,-0.00886389,0.125201,0.0240141,0.051361300000000006,-0.00578904,0.0180095
ABCB8,-0.0008903860000000001,0.0481163,-0.00684105,-0.033653800000000005,0.0938363999999999,0.0731822,0.078856,-0.0411346,-0.0221508,0.0354898,0.0680023,0.04554880000000001
ABCB9,-0.0828167,-0.200019,-0.112075,-0.22986700000000002,-0.2165619999999999,-0.105073,0.00581283,0.0211199,0.0178233,0.149729,-0.0516794,-0.0341611999999999
ABCC1,0.133652,0.0501560999999999,-0.1060589999999999,-0.202153,-0.150285,-0.08543710000000002,0.0194942,0.2050989999999999,0.19234,0.3383239999999999,0.101053,0.29303
ABCC1-2,0.182226,-0.286461,-0.158901,0.177198,-0.652828,-0.241445,-0.0836837,0.37095300000000003,0.172533,0.00757237,-0.05571330000000001,0.116594
ABCC10,-0.09341870000000001,-0.029237,-0.0887998,-0.0627022,0.142548,0.0154222999999999,0.103072,-0.167238,-0.0155947,-0.028031,0.0385070999999999,0.022732
ABCC11,-0.128606,-0.3210449999999999,0.0118146,-0.148071,0.5258010000000001,0.222557,0.2093539999999999,-0.842744,0.03319280000000001,0.0227643,-0.21841100000000002,-0.18604300000000001
ABCC12,-0.0832532,0.0,0.0043887623446151,0.835275,0.0,0.0043627142619916,0.0,0.0,0.0053000484542983,-0.9169370000000001,0.4618739999999999,0.0072702899250059
ABCC2,0.251686,0.2140639999999999,0.0983112,-0.2177869999999999,-0.1035099999999999,0.161762,0.0624039999999999,0.322263,0.0405339,0.4720279999999999,0.0111052,0.0513702
ABCC3,0.0119899,0.0146208,0.199735,-0.00595597,-0.1041769999999999,0.201517,0.000687098,0.123346,0.017684900000000003,0.020746,-0.049908600000000004,-0.0324185
ABCC4,0.153532,0.00101908,0.00547046,0.110632,-0.0244567,-0.010851000000000001,-0.0175202,0.030037400000000002,0.163117,0.045518800000000005,0.0996918,0.262507
ABCC5,-0.06099980000000001,-0.0268281,-0.133245,0.038750900000000005,0.348853,-0.138881,-0.00680813,-0.37108800000000003,-0.016719,-0.0970781999999999,-0.122902,-0.139803
ABCC5-AS1,0.384288,0.0,1.50847,0.32147600000000004,0.0386192111008127,0.09245251303235902,0.0333353182558421,-0.0382029715940396,0.0,0.063092,0.0,0.0
ABCC6-2,1.20633,-0.4037949999999999,-0.0236845999999999,0.988051,-0.106392,0.0684395,0.0905923,-0.292242,-0.3850139999999999,0.21890700000000002,-0.1086119999999999,-0.494479
ABCC6P1,1.03811,0.0302211,0.122357,0.7195739999999999,-0.08779980000000001,0.187828,0.0642848,0.122722,1.25179,0.317904,-0.55853,0.693418
ABCC6P1-2,-0.0357512835235223,0.0351880796287154,0.435,0.0,0.0,9.11382,8.77549,0.0353149287811168,0.0358434641712741,-0.0359066502510696,-0.035612790379751,0.0
ABCC6P2,0.626881,0.2341059999999999,0.1434691761539611,-0.311473,2.77883,-0.115818,-0.1548138973888546,-2.5400400000000003,0.732787,0.9409069999999999,2.37964,3.1120900000000002
ABCC6P2-2,0.921544,0.433191,0.880707,2.12358,0.406357,-0.765336,-1.64632,0.0316826,-0.389679,-1.19859,-0.299967,-0.689102
ABCC8,1.44166,0.0,0.0,0.0156929508531201,0.0,0.0,0.0,0.0,-0.0932251,-0.0057947039727492,-0.0517481999999999,-0.144787
ABCC9,0.35330900000000004,0.157551,0.0205394,0.529054,0.358069,-0.321983,-0.343844,-0.1958619999999999,0.451064,-0.172789,-0.468016,-0.0164688
ABCD1,-0.0918137,-0.148014,-0.00381297,-0.1836819999999999,0.0672159,0.00553144,0.00817908,-0.210571,-0.0288127,0.09451810000000001,-0.16844800000000001,-0.197535
ABCD2,0.654618,-0.285988,0.505714,0.20286300000000002,-0.850433,0.136355,-0.370882,0.568913,0.40593,0.4544359999999999,-0.178776,0.225859
ABCD3,0.0238838,-0.00714426,0.123879,0.07524910000000001,-0.00534053,0.125468,0.00040995,0.00276211,0.150447,-0.0486481999999999,-0.0135758999999999,0.136676
ABCD4,-0.168727,-0.0599663,-0.11707000000000001,-0.163996,0.257781,-0.00984716,0.106076,-0.31324,-0.180481,-0.0021183000000000005,-0.107839,-0.288597
ABCE1,0.0479685,0.00680472,-0.0124622999999999,0.295985,-0.28985,-0.0511255,-0.0398233,0.301187,0.1036579999999999,-0.245377,0.0225797,0.125995
ABCF1-5,0.554372,-0.327571,-0.0110089,0.315033,-0.413235,0.26513600000000004,0.275312,0.08999,-0.265814,0.242004,0.446754,0.180394
ABCF1-6,0.669974,-0.527237,-0.720236,0.0439063,0.19931400000000002,-0.552086,0.16678900000000002,-0.7218899999999999,0.212,0.628718,0.457196,0.669288
ABCF1-7,-1.04301,-0.0138242263328113,-0.0035831253414998,-0.011563200000000001,-1.96879,0.0,0.0035812400978345,-0.0035469742855672,0.0,-1.0293299999999999,0.004339657504919001,0.0043540122853031
ABCF2,-0.0238695,-0.05721230000000001,-0.0708299,0.2179719999999999,-0.263777,-0.09827260000000002,-0.028609,0.21113400000000002,-0.0024622,-0.23917,0.108146,0.105452
ABCF2-H2BK1,0.33731700000000003,0.115898,0.17414100000000002,0.12618900000000002,0.22895,0.07103,-0.10427,-0.10849600000000001,0.200436,0.213506,-0.46046400000000004,-0.2609309999999999
ABCF2P1,-0.350634,-0.309302,0.2252199999999999,0.0624354,0.8237,-0.335149,-0.561815,-1.12914,-0.694446,-0.410804,-0.44181400000000004,-1.1397899999999999
ABCF3,-0.0353846,0.07470700000000001,0.0311673,0.0303139999999999,0.015470300000000001,0.0262868,-0.00605731,0.0637116,-0.097295,-0.0630193999999999,-0.0577472,-0.155246
ABCG1,-0.0439036,0.171775,0.92369,1.16916,0.4418479999999999,0.472379,-0.452775,-0.265393,0.136938,-1.20767,0.11439200000000001,0.250909
ABCG2,0.2334679999999999,0.0233703,0.0342063,-0.0975878,-0.021543,0.134406,0.0990284999999999,0.0494788,0.119797,0.3337239999999999,0.08943,0.20903000000000002
ABCG4,-0.000723007,0.06793060000000001,0.239081,-0.35938400000000004,1.05139,-0.18209,-0.422442,-0.9784370000000001,-0.48927200000000004,0.36140300000000003,0.336364,-0.153079
ABCG5,0.0221535857641577,-0.0117312168556464,0.0065983461260821,1.1223,-0.0118716351697247,-0.959217,-0.0127917787823124,0.0,-0.892634,0.010299767445928,1.40493,0.514552
ABCG8,-0.337548,-0.0015494300543691,0.0551068999999999,1.0623200000000002,-0.0015679630785814,0.0037434339972875,0.0036255498680521,0.0,-0.176251,-1.39438,-0.29278200000000004,-0.469401
ABHD1,-0.619851,-0.216112,0.1323619999999999,-0.7179,0.374693,0.109804,-0.0237027,-0.586194,-0.1473539999999999,0.10072,0.15809,0.0104764
ABHD10,-0.00747653,0.0171562,0.0459218,0.08370010000000001,-0.059193100000000005,0.016705900000000003,-0.0303788,0.0809434,0.117254,-0.0885523999999999,-0.0617221,0.0553453
ABHD11,0.151478,0.154202,0.059121900000000005,0.0936583999999999,-0.0498421999999999,0.0693136999999999,0.00895045,0.20856,0.0522861,0.060479700000000004,0.10294500000000001,0.155228
ABHD11-AS1,-0.024534900000000002,-0.1218349999999999,-0.432957,0.0329511,0.1514619999999999,-0.1124579999999999,0.319708,-0.268931,-0.32555500000000004,-0.05454540000000001,0.6577149999999999,0.331921
ABHD12,-0.011559,0.0235044999999999,-0.0203622,-0.062729,0.0579557,-0.0141911,0.00503445,-0.0299013,-0.028523700000000003,0.0538779999999999,0.197935,0.169208
ABHD12B,-0.447011,0.588447,1.08677,-0.561588,-0.12478800000000001,0.6332409999999999,-0.454556,0.717113,0.8308770000000001,0.117075,-0.0232071,0.8062060000000001
ABHD13,0.0639387,-0.0622521,-0.14591500000000002,0.14800000000000002,-0.126435,-0.08189760000000001,0.0628429,0.0685983,0.0874872,-0.0813845,-0.037851300000000004,0.049449400000000004
ABHD14A,-0.035424000000000004,-0.0456605,0.0463839,-0.028571600000000003,0.149765,0.025616900000000005,-0.0219172,-0.190928,-0.00938765,-0.00422834,-0.0338745,-0.0434608
ABHD14A-ACY1,1.0647799999999998,0.0,0.0,-0.9120879999999999,0.0,-0.070688965142928,-0.0711104951350519,0.0,0.0519017467914711,1.9770299999999998,2.05238,0.2032287254698269
ABHD14B,-0.028691200000000004,0.0429811,-0.0766521999999999,-0.0834011,0.23731100000000002,-0.00473095,0.07077710000000001,-0.189808,0.0150352,0.0574331,-0.0517931,-0.0369751
ABHD15,-0.0107485,-0.0897875,-0.0433126999999999,-0.0547611,0.14300000000000002,-0.034415100000000004,0.0077007,-0.22825700000000002,-0.0178219,0.0466349,0.00883929,-0.00922428
ABHD16A,0.0062858143573813,0.0,0.0,0.0063158640115038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABHD16A-4,-0.0138375439626631,0.0,-0.0066442435278728,0.0,0.0068907088549014,-0.0074302181237735,-0.172311,-0.0068150821932203,0.0,-0.0139150181225115,0.0,0.0
ABHD16A-7,-0.0138458459851614,-0.0504806,-0.6912010000000001,-0.0389284682612789,-0.38040300000000005,-1.45767,-0.767942,0.334928,1.14726,1.5011299999999999,-1.5871600000000001,-0.4363329999999999
ABHD17A,0.015721600000000002,0.0116204,0.0904866999999999,-0.02634,-0.0264397,0.0847779,-0.00688468,0.042531400000000004,-0.05192080000000001,0.0447464,0.013281,-0.0387321
ABHD17AP1,0.0876305,0.14296,0.309132,0.024458700000000003,0.0616216,0.0115932999999999,-0.298713,0.0859496999999999,0.202743,0.06595110000000001,-0.2908429999999999,-0.0887216
ABHD17AP3,-1.17729,0.7532260000000001,-0.7265229999999999,-1.23943,0.6141449999999999,-0.271096,0.454561,0.143039,1.6926400000000001,0.0647879,-0.822593,0.8680700000000001
ABHD17AP4,0.436979,-0.0416086,0.0146697999999999,-0.11443800000000001,-0.0437472,1.3761,1.3605,0.0059881,1.3686399999999999,0.553546,1.23193,2.59985
ABHD17AP5,0.340152,1.2768,2.58354,-0.8926209999999999,1.2820200000000002,-0.145319,-2.72938,-0.00287032,0.945758,1.23759,-1.48357,-0.538127
ABHD17AP6,-0.2097989999999999,0.0735113999999999,0.560423,-0.383927,-0.0169544999999999,0.1212029999999999,-0.440459,0.0951679999999999,-0.1610599999999999,0.176954,0.39865700000000004,0.237315
ABHD17B,0.049147,-0.0570067999999999,0.08019710000000001,-0.0449839,-0.0567169,0.0471447,-0.0342405,0.00434419,0.0169639,0.09672280000000001,-0.0335253,-0.0166696
ABHD17C,0.016993400000000002,0.00466273,-0.159915,0.1504869999999999,-0.218245,-0.1993609999999999,-0.0405839,0.2274429999999999,0.021414700000000002,-0.130842,0.0875943,0.108774
ABHD18,-0.00943005,-0.0807143,-0.1144589999999999,-0.110497,0.0808372,-0.194906,-0.0816036999999999,-0.156884,-0.175036,0.103697,0.0237030999999999,-0.151483
ABHD2,-0.014533,-0.00260533,0.0734339,-0.0667063,0.203942,0.0528672,-0.021739500000000002,-0.201971,0.00793986,0.0547919,0.153719,0.16136
ABHD3,0.0346465,0.029801400000000002,-0.2329969999999999,-0.110365,-0.1905329999999999,-0.169453,0.0623745,0.22492600000000001,0.011910500000000001,0.1475769999999999,-0.0632693,-0.0514961
ABHD4,-0.0693148,-0.12129300000000001,-0.00716245,-0.381098,0.13322,0.0360365,0.0420382,-0.2499469999999999,-0.0179615999999999,0.314472,0.0143972999999999,-0.00370738
ABHD5,0.0259206999999999,-0.122877,-0.0816361999999999,0.14291700000000002,-0.2111199999999999,-0.128531,-0.0479375,0.09283860000000001,0.07490430000000001,-0.114406,0.131614,0.206227
ABHD6,-0.0101944999999999,0.0778352,-0.1030259999999999,0.0771798,0.0542969,-0.156866,-0.0550422,0.0281502,0.00147663,-0.0846573,0.0390921,0.0403575
ABHD8,-0.335013,-0.1133049999999999,0.0643786,-0.4784199999999999,0.266567,0.115835,0.0502724,-0.375402,-0.0645987,0.146062,-0.0947452,-0.159661
ABI1,0.0879572,-0.0766498,-0.014669,-0.0066467,0.12931600000000001,0.0197049,0.0332014,-0.20141900000000001,-0.0352583,0.0972604,-0.00035811,-0.0357788999999999
ABI1P1,0.374935,-0.0059636892910691,0.147122,0.41851000000000005,-0.884667,-0.301573,-0.449251,-0.0032327730994764,-1.67307,-0.040050800000000004,1.76635,0.0963969
ABI2,0.00244977,-0.0356552,0.0517884,0.014425,-0.189201,-0.00815445,-0.0611202,0.158019,-0.0667398999999999,-0.00938725,-0.013052700000000002,-0.0800793
ABI3,-1.77729,-0.0077568661158185,-1.2280200000000001,-1.02498,-0.0078485714301979,0.644968,1.87218,0.0,-1.8325099999999999,-0.748671,-0.640288,-2.4746200000000003
ABI3BP,0.177542,-0.527275,-0.5354,-0.280111,0.0452051999999999,-0.230217,0.304117,-0.56886,0.181134,0.459388,-0.305016,-0.124947
ABITRAM,-0.0689961,-0.0760174,-0.1117109999999999,-0.023017,-0.0527976999999999,-0.089527,0.0209953,-0.0186236,0.0589356,-0.0432996,-0.0899403,-0.031179400000000003
ABITRAMP1,-0.0227812612518522,0.0,0.0,-0.026697243743991,0.0,-0.0209784637165361,-0.0211210700653135,0.0,0.0,0.22784200000000002,0.0,0.0
ABL1,-0.0494140999999999,-0.0894298999999999,0.0275873,-0.0167155,-0.07513910000000001,0.0101658999999999,-0.018576,-0.00975263,-0.0700621999999999,-0.0300353,-0.0277156,-0.09798710000000001
ABL2,0.0725561,-0.1133859999999999,-0.11339500000000001,0.0338787,-0.137978,-0.183292,-0.0710944,0.0292179,-0.062321,0.0413615,-0.0304447,-0.09316310000000001
ABLIM1,0.0185515999999999,0.06802260000000002,-0.061227,-0.0423201,0.602054,-0.037449500000000004,0.0226154,-0.529474,0.054475300000000004,0.0635111999999999,0.025909300000000003,0.08008860000000001
ABLIM2,0.29633200000000004,0.0918568,-0.3942739999999999,0.0973117,0.403211,-0.014693600000000001,0.37850900000000004,-0.306653,0.94004,0.201536,-0.339013,0.601059
ABLIM3,0.033666800000000004,0.230487,0.0261276,0.14844000000000002,0.47605,-0.0797257,-0.1070089999999999,-0.24080300000000002,0.301151,-0.1121,0.0825424999999999,0.384013
ABO,0.402389,2.0061400000000003,-0.905178,-0.40788,2.65219,-0.300133,0.604629,-0.6401680000000001,0.0,0.812387,0.0,0.0
ABO-2,0.013740100000000002,-2.33218,1.03819,-0.49558800000000003,-0.168711,-0.16424,-1.2033399999999999,-2.15836,0.0,0.512167,0.0022284393242891,0.0022358145032451
ABR,0.8518870000000001,0.153137,0.42088100000000006,-0.0968016999999999,0.19937,0.017620900000000002,-0.404648,-0.0422168,0.141571,0.951794,-0.823234,-0.6832010000000001
ABR-2,1.7908099999999998,0.1033569999999999,2.29941,-0.977188,-0.467391,-1.62123,-3.9214300000000004,0.5753520000000001,-2.0401,2.77142,2.12952,0.0882578
ABR-3,-0.46255,0.246205,-0.00558934,0.0497177,-1.31035,-0.0718291,-0.0672512,1.56045,0.49695500000000004,-0.509694,-0.0906675,0.40506
ABRA,-0.0759503999999999,0.0097400077039154,0.0167135279186886,0.0048129879028786,0.0351433066766181,0.0166107040341454,0.0,-1.84221,0.887133,-0.0050731218997375,-0.0088651757066054,-0.0048150297053367
ABRACL,0.058387,0.0206169,-0.0755025,0.0478571,0.135126,-0.0281185999999999,0.046236400000000004,-0.1099369999999999,0.131614,0.0131756,-0.033926,0.0975055
ABRAXAS1,0.0374705999999999,-0.0350796,-0.11568800000000001,-0.05268250000000001,0.2667,-0.0264387,0.0880345,-0.297293,0.211346,0.092777,-0.054924900000000006,0.156196
ABRAXAS1P2,-0.278582,0.014575200000000002,-0.356984,0.0083876,-1.44039,0.405621,0.761598,1.45907,0.492191,-0.283878,0.018112,0.509042
ABRAXAS2,0.00336914,-0.00880772,0.00777623,0.09448610000000002,-0.0792111,0.0209240999999999,0.011995,0.0750108,0.0605683,-0.0884636,-0.0280098999999999,0.0323921
ABT1,0.1681119999999999,0.0913342,-0.1335599999999999,0.205765,-0.125941,-0.140964,-0.00842854,0.22195900000000002,-0.1001399999999999,-0.0354968,0.148454,0.0481126
ABT1-2,-0.1527,-0.0410561999999999,-0.109325,0.09470930000000001,-0.102264,0.00464238,0.11281,0.0657413,0.422843,-0.244831,0.50084,0.923321
ABTB1,-0.287875,-0.0566563999999999,-0.227352,-0.4028739999999999,0.714368,0.00272208,0.22894,-0.766572,0.0305057,0.1177599999999999,0.0411098,0.0716405
ABTB2,0.0613095,0.00190665,0.0736184999999999,-0.0237418,-0.190002,0.0812683,0.00648511,0.196451,-0.03721,0.0877445,-0.06528250000000001,-0.1026359999999999
ABTB3,-0.3730739999999999,-0.557921,0.210704,0.0340294,-0.0796789,0.15326800000000002,-0.058579700000000005,-0.472884,0.1250369999999999,-0.403573,0.209218,0.334095
ACAA1,0.017118900000000003,0.126197,-0.0143533999999999,-0.0713099,0.19186,0.030416000000000002,0.043587400000000005,-0.0610418999999999,0.00485777,0.0910438,-0.0203753,-0.0156948999999999
ACAA2,-0.0186718,0.132787,-0.0583219,-0.0661282,0.0654256,-0.060979,-0.00380912,0.0719263999999999,0.0944388999999999,0.050075,-0.00119591,0.0930862
ACAA2P1,-0.335665,-0.198568,0.144732,-0.0325545,-0.06607310000000001,0.0263776,-0.119512,-0.127965,0.0662334,-0.300196,-0.1090069999999999,-0.0432314
ACACA,0.625746,-0.0306748,-0.033013,-0.10076900000000001,-0.0841258999999999,-0.5969869999999999,-0.564972,0.0576659999999999,0.826102,0.728985,-1.59132,-0.766238
ACACA-2,-0.114008,0.236488,0.4758,-0.26587,0.49967700000000004,0.1626119999999999,-0.3145409999999999,-0.2585699999999999,0.522437,0.153382,-0.190877,0.330242
ACACB,-0.0416536999999999,-0.12676700000000002,0.187308,-0.326202,0.201494,0.056771800000000004,-0.131657,-0.323721,-0.0353061999999999,0.287207,0.0257694,-0.00981532
